78500592.000	3.845
78600970.000	3.855
78700353.000	3.855
78800735.000	3.855
78901115.000	3.850
79000549.000	3.855
79100938.000	3.845
79200354.000	3.850
79300736.000	3.850
79401129.000	3.845
79500531.000	3.855
79600919.000	3.855
79700310.000	3.850
79800707.000	3.855
79901105.000	3.840
80000506.000	3.845
80100894.000	3.850
80200284.000	3.850
80300686.000	3.850
80401086.000	3.850
80500473.000	3.850
80600850.000	3.845
80700251.000	3.861
80800655.000	3.855
80901041.000	3.855
81000419.000	3.850
81100799.000	3.850
81201182.000	3.855
81300568.000	3.855
81400986.000	3.850
81500373.000	3.855
81600896.000	3.850
81700289.000	3.850
81800666.000	3.850
81901046.000	3.850
82000421.000	3.850
82100816.000	3.855
82201193.000	3.845
82300572.000	3.861
82400954.000	3.845
82500332.000	3.840
82600723.000	3.850
82701137.000	3.855
82800553.000	3.850
82901000.000	3.845
83000377.000	3.855
83100753.000	3.855
83201133.000	3.845
83300512.000	3.850
83400893.000	3.850
83500274.000	3.850
83600657.000	3.850
83701035.000	3.845
83800409.000	3.850
83900787.000	3.855
84001185.000	3.855
84100571.000	3.855
84200949.000	3.855
84300463.000	3.845
84400889.000	3.861
84500235.000	3.861
84600621.000	3.855
84701009.000	3.845
84900792.000	3.861
84900792.000	3.861
85100549.000	3.861
85100549.000	3.861
85300343.000	3.845
85400745.000	3.840
85501155.000	3.855
85600592.000	3.855
85700970.000	3.861
85800344.000	3.850
85900736.000	3.855
86001123.000	3.855
86100496.000	3.845
86200876.000	3.855
86300252.000	3.850
86400628.000	3.855
86501003.000	3.845
86600393.000	3.861
86700848.000	3.861
86800372.000	3.855
86900767.000	3.866
87001144.000	3.850
87100525.000	3.855
87200902.000	3.855
87300282.000	3.855
87400677.000	3.850
87501079.000	3.845
87600481.000	3.866
87700882.000	3.850
87800267.000	3.845
87900656.000	3.845
88001060.000	3.855
88100449.000	3.855
88200862.000	3.850
88300275.000	3.850
88400667.000	3.855
88501047.000	3.845
88600427.000	3.850
88700821.000	3.855
88801210.000	3.845
88900607.000	3.850
89000997.000	3.850
89100376.000	3.855
89200759.000	3.855
89301142.000	3.855
89400520.000	3.850
89500918.000	3.855
89600319.000	3.850
89700734.000	3.861
89801129.000	3.855
89900526.000	3.855
90000975.000	3.845
